date, pm10
2024/5/1, 17
2024/5/2, 14
2024/5/3, 19
2024/5/4, 18
2024/5/5, 18
2024/5/6, 11
2024/5/7, 9
2024/5/8, 10
2024/5/9, 15
2024/5/10, 23
2024/5/11, 15
2024/5/12, 9
2024/5/13, 9
2024/5/14, 13
2024/5/15, 24
2024/5/16, 28
2024/5/17, 26
2024/5/18, 11
2024/5/19, 9
2024/5/20, 16
2024/5/21, 15
2024/5/22, 13
2024/4/1, 72
2024/4/2, 15
2024/4/3, 12
2024/4/4, 10
2024/4/5, 11
2024/4/6, 15
2024/4/7, 13
2024/4/8, 17
2024/4/9, 21
2024/4/10, 20
2024/4/11, 23
2024/4/12, 29
2024/4/13, 27
2024/4/14, 20
2024/4/15, 16
2024/4/16, 13
2024/4/17, 15
2024/4/18, 20
2024/4/19, 17
2024/4/20, 9
2024/4/21, 10
2024/4/22, 11
2024/4/23, 14
2024/4/24, 21
2024/4/25, 21
2024/4/26, 19
2024/4/27, 15
2024/4/28, 16
2024/4/29, 15
2024/4/30, 16
2024/1/7, 12
2024/1/8, 27
2024/1/9, 45
2024/1/10, 70
2024/1/11, 49
2024/1/12, 22
2024/1/13, 19
2024/1/14, 14
2024/1/15, 11
2024/1/16, 24
2024/1/17, 27
2024/1/18, 23
2024/1/19, 29
2024/1/20, 20
2024/1/21, 31
2024/1/22, 23
2024/1/23, 21
2024/1/24, 13
2024/1/25, 16
2024/1/26, 17
2024/1/27, 15
2024/1/28, 33
2024/1/29, 34
2024/1/30, 37
2024/1/31, 29
2024/2/1, 29
2024/2/2, 18
2024/2/3, 18
2024/2/4, 13
2024/2/5, 12
2024/2/6, 15
2024/2/7, 13
2024/2/8, 19
2024/2/9, 24
2024/2/10, 20
2024/2/11, 24
2024/2/12, 19
2024/2/13, 20
2024/2/14, 33
2024/2/15, 28
2024/2/16, 28
2024/2/17, 21
2024/2/18, 14
2024/2/19, 16
2024/2/20, 16
2024/2/21, 15
2024/2/22, 16
2024/2/23, 15
2024/2/24, 20
2024/2/25, 24
2024/2/26, 34
2024/2/27, 33
2024/2/28, 37
2024/2/29, 26
2024/3/1, 42
2024/3/2, 36
2024/3/3, 26
2024/3/4, 27
2024/3/5, 23
2024/3/6, 20
2024/3/7, 25
2024/3/8, 27
2024/3/9, 29
2024/3/10, 20
2024/3/11, 19
2024/3/12, 20
2024/3/13, 24
2024/3/14, 35
2024/3/15, 25
2024/3/16, 19
2024/3/17, 16
2024/3/18, 10
2024/3/19, 23
2024/3/20, 35
2024/3/21, 42
2024/3/22, 27
2024/3/23, 19
2024/3/24, 13
2024/3/25, 18
2024/3/26, 20
2024/3/27, 16
2024/3/28, 25
2024/3/29, 9
2024/3/30, 54
2024/3/31, 63
2023/10/1, 16
2023/10/2, 13
2023/10/3, 12
2023/10/4, 11
2023/10/5, 15
2023/10/6, 14
2023/10/7, 11
2023/10/8, 9
2023/10/9, 14
2023/10/10, 20
2023/10/11, 18
2023/10/12, 21
2023/10/13, 14
2023/10/14, 16
2023/10/15, 13
2023/10/16, 15
2023/10/17, 26
2023/10/18, 33
2023/10/19, 28
2023/10/20, 22
2023/10/21, 30
2023/10/22, 9
2023/10/23, 19
2023/10/24, 16
2023/10/25, 23
2023/10/26, 13
2023/10/27, 16
2023/10/28, 9
2023/10/29, 11
2023/10/30, 19
2023/10/31, 11
2023/11/1, 12
2023/11/2, 12
2023/11/3, 12
2023/11/4, 14
2023/11/5, 13
2023/11/6, 10
2023/11/7, 30
2023/11/8, 18
2023/11/9, 21
2023/11/10, 19
2023/11/11, 28
2023/11/12, 19
2023/11/13, 21
2023/11/14, 10
2023/11/15, 10
2023/11/16, 18
2023/11/17, 13
2023/11/18, 13
2023/11/19, 17
2023/11/20, 13
2023/11/21, 14
2023/11/22, 15
2023/11/23, 14
2023/11/24, 12
2023/11/25, 15
2023/11/26, 14
2023/11/27, 32
2023/11/28, 24
2023/11/29, 33
2023/11/30, 36
2023/12/1, 45
2023/12/2, 24
2023/12/3, 23
2023/12/4, 31
2023/12/5, 42
2023/12/6, 42
2023/12/7, 47
2023/12/8, 42
2023/12/9, 38
2023/12/10, 25
2023/12/11, 13
2023/12/12, 21
2023/12/13, 22
2023/12/14, 26
2023/12/15, 27
2023/12/16, 25
2023/12/17, 17
2023/12/18, 14
2023/12/19, 11
2023/12/20, 11
2023/12/21, 5
2023/12/22, 11
2023/12/23, 12
2023/12/24, 10
2023/12/25, 6
2023/12/26, 9
2023/12/27, 25
2023/12/28, 19
2023/9/9, 36
2023/9/10, 21
2023/9/11, 26
2023/9/12, 37
2023/9/13, 29
2023/9/14, 9
2023/9/15, 8
2023/9/16, 11
2023/9/17, 12
2023/9/18, 20
2023/9/19, 14
2023/9/20, 9
2023/9/21, 9
2023/9/22, 12
2023/9/23, 11
2023/9/24, 9
2023/9/25, 10
2023/9/26, 14
2023/9/27, 22
2023/9/28, 24
2023/9/29, 25
2023/9/30, 18
