date, pm10
2024/5/1, 21
2024/5/2, 18
2024/5/3, 17
2024/5/4, 23
2024/5/5, 22
2024/5/6, 17
2024/5/7, 10
2024/5/8, 19
2024/5/9, 18
2024/5/10, 24
2024/5/11, 22
2024/5/12, 14
2024/5/13, 15
2024/5/14, 28
2024/5/15, 30
2024/5/16, 30
2024/5/17, 40
2024/5/18, 12
2024/5/19, 10
2024/5/20, 16
2024/5/21, 23
2024/5/22, 54
2024/4/1, 91
2024/4/2, 11
2024/4/3, 13
2024/4/4, 16
2024/4/5, 11
2024/4/6, 19
2024/4/7, 21
2024/4/8, 28
2024/4/9, 25
2024/4/10, 24
2024/4/11, 20
2024/4/12, 37
2024/4/13, 31
2024/4/14, 29
2024/4/15, 19
2024/4/16, 17
2024/4/17, 18
2024/4/18, 21
2024/4/19, 16
2024/4/20, 11
2024/4/21, 13
2024/4/22, 18
2024/4/23, 31
2024/4/24, 22
2024/4/25, 24
2024/4/26, 22
2024/4/27, 16
2024/4/28, 18
2024/4/29, 24
2024/4/30, 26
2024/1/7, 13
2024/1/8, 26
2024/1/9, 64
2024/1/10, 92
2024/1/11, 69
2024/1/12, 18
2024/1/13, 18
2024/1/14, 16
2024/1/15, 14
2024/1/16, 20
2024/1/17, 33
2024/1/18, 23
2024/1/19, 24
2024/1/20, 24
2024/1/21, 33
2024/1/22, 19
2024/1/23, 24
2024/1/24, 16
2024/1/25, 11
2024/1/26, 15
2024/1/27, 12
2024/1/28, 23
2024/1/29, 30
2024/1/30, 36
2024/1/31, 34
2024/2/1, 24
2024/2/2, 19
2024/2/3, 11
2024/2/4, 7
2024/2/5, 9
2024/2/6, 15
2024/2/7, 10
2024/2/8, 18
2024/2/9, 27
2024/2/10, 26
2024/2/11, 22
2024/2/12, 16
2024/2/13, 17
2024/2/14, 42
2024/2/15, 44
2024/2/16, 28
2024/2/17, 19
2024/2/18, 14
2024/2/19, 17
2024/2/20, 11
2024/2/21, 19
2024/2/22, 20
2024/2/23, 19
2024/2/24, 24
2024/2/25, 26
2024/2/26, 41
2024/2/27, 42
2024/2/28, 49
2024/2/29, 30
2024/3/1, 52
2024/3/2, 39
2024/3/3, 27
2024/3/4, 39
2024/3/5, 29
2024/3/6, 24
2024/3/7, 33
2024/3/8, 35
2024/3/9, 32
2024/3/10, 26
2024/3/11, 23
2024/3/12, 19
2024/3/13, 28
2024/3/14, 48
2024/3/15, 27
2024/3/16, 31
2024/3/17, 11
2024/3/18, 13
2024/3/19, 20
2024/3/20, 54
2024/3/21, 57
2024/3/22, 28
2024/3/23, 21
2024/3/24, 14
2024/3/25, 19
2024/3/26, 48
2024/3/27, 19
2024/3/28, 32
2024/3/29, 13
2024/3/30, 64
2024/3/31, 80
2023/10/1, 23
2023/10/2, 24
2023/10/3, 24
2023/10/4, 11
2023/10/5, 22
2023/10/6, 13
2023/10/7, 12
2023/10/8, 8
2023/10/9, 22
2023/10/10, 23
2023/10/11, 26
2023/10/12, 25
2023/10/13, 23
2023/10/14, 22
2023/10/15, 10
2023/10/16, 13
2023/10/17, 37
2023/10/18, 56
2023/10/19, 37
2023/10/20, 33
2023/10/21, 41
2023/10/22, 10
2023/10/23, 30
2023/10/24, 25
2023/10/25, 22
2023/10/26, 19
2023/10/27, 29
2023/10/28, 12
2023/10/29, 15
2023/10/30, 26
2023/10/31, 14
2023/11/1, 13
2023/11/2, 12
2023/11/3, 12
2023/11/4, 16
2023/11/5, 12
2023/11/6, 10
2023/11/7, 26
2023/11/8, 23
2023/11/9, 22
2023/11/10, 24
2023/11/11, 36
2023/11/12, 21
2023/11/13, 30
2023/11/14, 11
2023/11/15, 8
2023/11/16, 21
2023/11/17, 13
2023/11/18, 10
2023/11/19, 16
2023/11/20, 13
2023/11/21, 9
2023/11/22, 16
2023/11/23, 16
2023/11/24, 8
2023/11/25, 11
2023/11/26, 11
2023/11/27, 31
2023/11/28, 27
2023/11/29, 35
2023/11/30, 53
2023/12/1, 60
2023/12/2, 28
2023/12/3, 22
2023/12/4, 35
2023/12/5, 40
2023/12/6, 55
2023/12/7, 51
2023/12/8, 41
2023/12/9, 30
2023/12/10, 27
2023/12/11, 16
2023/12/12, 23
2023/12/13, 26
2023/12/14, 21
2023/12/15, 25
2023/12/16, 29
2023/12/17, 21
2023/12/18, 22
2023/12/19, 19
2023/12/20, 14
2023/12/21, 7
2023/12/22, 9
2023/12/23, 8
2023/12/24, 9
2023/12/25, 6
2023/12/26, 6
2023/12/27, 21
2023/12/28, 21
2023/9/9, 24
2023/9/10, 27
2023/9/11, 32
2023/9/12, 38
2023/9/13, 35
2023/9/14, 8
2023/9/15, 14
2023/9/16, 17
2023/9/17, 13
2023/9/18, 21
2023/9/19, 17
2023/9/20, 21
2023/9/21, 22
2023/9/22, 22
2023/9/23, 10
2023/9/24, 9
2023/9/25, 14
2023/9/26, 21
2023/9/27, 34
2023/9/28, 29
2023/9/29, 39
2023/9/30, 24
